time (s),hip angle (deg), knee angle (deg)
0.000000e+000, 2.008884e+002, 5.260379e+001
1.000000e-003, 2.005742e+002, 5.165688e+001
2.000000e-003, 2.002532e+002, 5.071948e+001
3.000000e-003, 1.999252e+002, 4.979205e+001
4.000000e-003, 1.995895e+002, 4.887531e+001
5.000000e-003, 1.992456e+002, 4.796996e+001
6.000000e-003, 1.988928e+002, 4.707675e+001
7.000000e-003, 1.985307e+002, 4.619637e+001
8.000000e-003, 1.981586e+002, 4.532960e+001
9.000000e-003, 1.977761e+002, 4.447725e+001
1.000000e-002, 1.973825e+002, 4.364016e+001
1.100000e-002, 1.969774e+002, 4.281918e+001
1.200000e-002, 1.965603e+002, 4.201520e+001
1.300000e-002, 1.961306e+002, 4.122906e+001
1.400000e-002, 1.956880e+002, 4.046158e+001
1.500000e-002, 1.952320e+002, 3.971353e+001
1.600000e-002, 1.947622e+002, 3.898560e+001
1.700000e-002, 1.942783e+002, 3.827837e+001
1.800000e-002, 1.937800e+002, 3.759235e+001
1.900000e-002, 1.932671e+002, 3.692796e+001
2.000000e-002, 1.927394e+002, 3.628565e+001
2.100000e-002, 1.921967e+002, 3.566594e+001
2.200000e-002, 1.916391e+002, 3.506951e+001
2.300000e-002, 1.910664e+002, 3.449728e+001
2.400000e-002, 1.904789e+002, 3.395038e+001
2.500000e-002, 1.898768e+002, 3.343017e+001
2.600000e-002, 1.892601e+002, 3.293810e+001
2.700000e-002, 1.886290e+002, 3.247567e+001
2.800000e-002, 1.879842e+002, 3.204421e+001
2.900000e-002, 1.873258e+002, 3.164486e+001
3.000000e-002, 1.866544e+002, 3.127839e+001
3.100000e-002, 1.859705e+002, 3.094516e+001
3.200000e-002, 1.852746e+002, 3.064513e+001
3.300000e-002, 1.845674e+002, 3.037784e+001
3.400000e-002, 1.838497e+002, 3.014249e+001
3.500000e-002, 1.831219e+002, 2.993802e+001
3.600000e-002, 1.823850e+002, 2.976314e+001
3.700000e-002, 1.816397e+002, 2.961653e+001
3.800000e-002, 1.808868e+002, 2.949696e+001
3.900000e-002, 1.801271e+002, 2.940341e+001
4.000000e-002, 1.793617e+002, 2.933511e+001
4.100000e-002, 1.785913e+002, 2.929149e+001
4.200000e-002, 1.778170e+002, 2.927208e+001
4.300000e-002, 1.770396e+002, 2.927641e+001
4.400000e-002, 1.762601e+002, 2.930396e+001
4.500000e-002, 1.754795e+002, 2.935413e+001
4.600000e-002, 1.746986e+002, 2.942626e+001
4.700000e-002, 1.739184e+002, 2.951969e+001
4.800000e-002, 1.731400e+002, 2.963376e+001
4.900000e-002, 1.723641e+002, 2.976784e+001
5.000000e-002, 1.715917e+002, 2.992134e+001
5.100000e-002, 1.708237e+002, 3.009372e+001
5.200000e-002, 1.700610e+002, 3.028452e+001
5.300000e-002, 1.693042e+002, 3.049329e+001
5.400000e-002, 1.685541e+002, 3.071962e+001
5.500000e-002, 1.678112e+002, 3.096312e+001
5.600000e-002, 1.670763e+002, 3.122338e+001
5.700000e-002, 1.663497e+002, 3.149997e+001
5.800000e-002, 1.656318e+002, 3.179238e+001
5.900000e-002, 1.649231e+002, 3.209999e+001
6.000000e-002, 1.642236e+002, 3.242208e+001
6.100000e-002, 1.635337e+002, 3.275793e+001
6.200000e-002, 1.628534e+002, 3.310691e+001
6.300000e-002, 1.621829e+002, 3.346860e+001
6.400000e-002, 1.615223e+002, 3.384279e+001
6.500000e-002, 1.608716e+002, 3.422950e+001
6.600000e-002, 1.602308e+002, 3.462897e+001
6.700000e-002, 1.596000e+002, 3.504159e+001
6.800000e-002, 1.589792e+002, 3.546786e+001
6.900000e-002, 1.583683e+002, 3.590830e+001
7.000000e-002, 1.577673e+002, 3.636328e+001
7.100000e-002, 1.571760e+002, 3.683295e+001
7.200000e-002, 1.565943e+002, 3.731708e+001
7.300000e-002, 1.560219e+002, 3.781513e+001
7.400000e-002, 1.554588e+002, 3.832628e+001
7.500000e-002, 1.549045e+002, 3.884955e+001
7.600000e-002, 1.543589e+002, 3.938389e+001
7.700000e-002, 1.538215e+002, 3.992828e+001
7.800000e-002, 1.532921e+002, 4.048185e+001
7.900000e-002, 1.527703e+002, 4.104391e+001
8.000000e-002, 1.522558e+002, 4.161398e+001
