485,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0,85.19755,81.45123,159.2517,144.1102,47.11487,157.0739,131.1488,120.5016,136.0275,143.5631
0.001,85.17518,81.42708,158.4792,144.5404,46.54572,156.9066,130.9126,119.8318,136.0742,144.6211
0.002,85.15144,81.40272,157.7009,144.9713,45.99213,156.7249,130.6766,119.1231,136.12,145.6669
0.003,85.12628,81.37802,156.9169,145.4021,45.45428,156.5279,130.4408,118.3792,136.1649,146.6926
0.004,85.0997,81.35285,156.1271,145.8319,44.93239,156.315,130.2052,117.6041,136.2087,147.6913
0.005,85.07168,81.32704,155.3315,146.2597,44.42665,156.0855,129.9696,116.8023,136.2514,148.657
0.006,85.04223,81.30047,154.5299,146.6848,43.93727,155.8389,129.7342,115.9783,136.2929,149.5842
0.007,85.01137,81.27298,153.7223,147.106,43.46447,155.575,129.499,115.1369,136.3331,150.4679
0.008,84.97915,81.24443,152.9086,147.5226,43.00846,155.2934,129.264,114.2829,136.3719,151.3035
0.009,84.94565,81.21469,152.0888,147.9337,42.56948,154.9941,129.0293,113.4211,136.4092,152.0866
0.01,84.91094,81.18364,151.2629,148.3386,42.14779,154.6771,128.795,112.5564,136.4449,152.8135
0.011,84.87516,81.15115,150.4308,148.7365,41.74366,154.3425,128.5612,111.6935,136.479,153.481
0.012,84.83846,81.11713,149.5927,149.1268,41.35737,153.9907,128.3281,110.8366,136.5114,154.0865
0.013,84.80101,81.0815,148.7485,149.509,40.98925,153.6222,128.0957,109.99,136.5421,154.6286
0.014,84.76302,81.04421,147.8985,149.8829,40.6396,153.2375,127.8643,109.1573,136.5708,155.1061
0.015,84.72473,81.00523,147.0427,150.2483,40.30879,152.8376,127.634,108.3416,136.5977,155.5189
0.016,84.68642,80.96453,146.1815,150.6053,39.99717,152.4232,127.405,107.5457,136.6226,155.8675
0.017,84.64836,80.92215,145.315,150.9539,39.70512,151.9956,127.1774,106.7721,136.6454,156.1526
0.018,84.61088,80.87812,144.4437,151.2947,39.43301,151.5561,126.9516,106.0225,136.6661,156.3757
0.019,84.57429,80.8325,143.5678,151.6283,39.18123,151.1062,126.7275,105.2986,136.6846,156.5384
0.02,84.53895,80.78539,142.6879,151.9553,38.95018,150.6475,126.5056,104.6015,136.701,156.6427
0.021,84.5052,80.73691,141.8044,152.2767,38.74025,150.1817,126.2859,103.9322,136.7151,156.6906
0.022,84.47342,80.68721,140.9177,152.5938,38.55183,149.7109,126.0687,103.2912,136.727,156.6847
0.023,84.44396,80.63646,140.0286,152.9076,38.38531,149.2369,125.8542,102.679,136.7366,156.6272
0.024,84.41718,80.58487,139.1375,153.2197,38.24105,148.7619,125.6426,102.0957,136.744,156.5206
0.025,84.39345,80.53267,138.2451,153.5316,38.11941,148.2879,125.4341,101.5416,136.7493,156.3675
0.026,84.37309,80.48011,137.3522,153.8448,38.02073,147.8173,125.2289,101.0163,136.7524,156.1702
0.027,84.35644,80.42748,136.4595,154.1612,37.94532,147.3521,125.0272,100.5198,136.7534,155.9313
0.028,84.3438,80.37506,135.5677,154.4823,37.89345,146.8946,124.8291,100.0518,136.7524,155.653
0.029,84.33545,80.32318,134.6776,154.8101,37.86536,146.4468,124.6349,99.61181,136.7494,155.3376
0.03,84.33163,80.27218,133.7899,155.1462,37.86124,146.0109,124.4445,99.19946,136.7445,154.9874
0.031,84.33255,80.22242,132.9056,155.4925,37.88124,145.5887,124.2582,98.81425,136.7378,154.6042
0.032,84.33839,80.17423,132.0255,155.8506,37.92545,145.1823,124.076,98.4557,136.7294,154.19
0.033,84.34931,80.12801,131.1503,156.2221,37.99391,144.7932,123.898,98.1233,136.7196,153.7466
0.034,84.36538,80.08411,130.2808,156.6085,38.08661,144.4231,123.724,97.81656,136.7083,153.2756
0.035,84.38668,80.0429,129.418,157.0112,38.20346,144.0733,123.554,97.535,136.6958,152.7785
0.036,84.41322,80.00476,128.5626,157.4315,38.34434,143.745,123.388,97.2782,136.6823,152.2564
0.037,84.44498,79.97004,127.7154,157.8703,38.50903,143.4392,123.2258,97.04578,136.6679,151.7107
0.038,84.4819,79.9391,126.8773,158.3286,38.69728,143.1566,123.0671,96.83741,136.6529,151.1423
0.039,84.52387,79.91229,126.0489,158.807,38.90879,142.8979,122.9117,96.65286,136.6373,150.552
0.04,84.57075,79.88995,125.2311,159.3061,39.14317,142.6635,122.7595,96.49199,136.6215,149.9406
0.041,84.62239,79.8724,124.4247,159.8264,39.40002,142.4536,122.6099,96.35475,136.6055,149.3086
