time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.0,82.59698627285218,160.39750548154473,145.25595072619586,47.11487054636838,157.07392856567867,131.14876769535195,120.50157366315459,136.02750014624496,503.5631441984001,-6.036825146099716,-17.57243019217806,255.79049936215802,254.00075922859753,9.674207646824847,-0.7162287265844913
0.001,82.57726016112775,159.62935815543193,145.6905521553254,46.54572340580684,156.90660018990593,130.91258769722128,119.83176598276154,136.07417972834656,504.6211203637224,-6.642646519622062,-16.997517761266508,255.64189403189556,253.94635997154694,9.666542613335253,-0.7156127093768768
0.002,82.5573550621619,158.85555471190852,146.12592862428494,45.992127194419155,156.72488314320532,130.6766198367879,119.12306489875664,136.12000754549314,505.6668870900404,-7.252769741913326,-16.41778795131782,255.5060782377717,253.89296284316134,9.658951728271782,-0.7139143901012159
0.003,82.53722540276746,158.07612998198294,146.56130112230704,45.45428300510609,156.5279212922757,130.4408199566346,118.37916556680965,136.1648863673463,506.6925721575695,-7.867090533963733,-15.83336428124045,255.38310362481292,253.84072099262002,9.651506402119695,-0.7110766297837986
0.004,82.51682456365563,157.2911150199323,146.9958677123882,44.9323907634719,156.3149864362186,130.20515896122072,117.60413605096473,136.2087220466241,507.69128739708066,-8.485491676141152,-15.244377380991494,255.27299393769187,253.78979130041898,9.644276082167304,-0.707044153180651
0.005,82.49610653091509,156.5005397809746,147.42881338543705,44.42665198929649,156.08547865135583,129.96962545272774,116.80233520394776,136.2514235758335,508.65698023246,-9.107844635621476,-14.650967512678733,255.17574472084777,253.74033470032697,9.637325997785785,-0.7017650310971166
0.006,82.47502762423,155.70443611778555,147.8593213497903,43.93727262005228,155.83892289452174,129.73422862171242,115.97834404535612,136.29290253280183,509.58420258820206,-9.734010733923341,-14.053287626791985,255.0913212471566,253.6925171990594,9.630715133088193,-0.6951923909424873
0.007,82.45354824490914,154.90284144616157,148.28658607750435,43.464466080993944,155.5749672609045,129.4990001084705,115.13690618411172,136.33307291226305,510.46793443994363,-10.363841780568293,-13.451506867431888,255.0196543280635,253.64651136264882,9.624494390977013,-0.6872862818590646
0.008,82.43163454550715,154.09580305231714,148.70982813661135,43.00845625045747,155.293383199444,129.26399483409256,114.2828658095423,136.37185086678642,511.3035064419746,-10.99718016574198,-12.845813907417067,254.96063461250486,253.60249753668774,9.618705087638297,-0.678015526834217
0.009,82.40926009201648,153.2833832514492,149.12831093324883,42.56948026852635,154.99406848057933,129.02929041290133,113.42109497217083,136.40915460048905,512.0866324359123,-11.633858903396089,-12.236419697863752,254.91410713685548,253.56066411674445,9.613377773088999,-0.6673594103104347
