time,hip_angle,knee_angle,ankle_angle,mtp_angle
s,deg,deg,deg,deg
0,159.2517,47.11487,131.1488,136.0275
0.001,158.4792,46.54572,130.9126,136.0742
0.002,157.7009,45.99213,130.6766,136.12
0.003,156.9169,45.45428,130.4408,136.1649
0.004,156.1271,44.93239,130.2052,136.2087
0.005,155.3315,44.42665,129.9696,136.2514
0.006,154.5299,43.93727,129.7342,136.2929
0.007,153.7223,43.46447,129.499,136.3331
0.008,152.9086,43.00846,129.264,136.3719
0.009,152.0888,42.56948,129.0293,136.4092
0.01,151.2629,42.14779,128.795,136.4449
0.011,150.4308,41.74366,128.5612,136.479
0.012,149.5927,41.35737,128.3281,136.5114
0.013,148.7485,40.98925,128.0957,136.5421
0.014,147.8985,40.6396,127.8643,136.5708
0.015,147.0427,40.30879,127.634,136.5977
0.016,146.1815,39.99717,127.405,136.6226
0.017,145.315,39.70512,127.1774,136.6454
0.018,144.4437,39.43301,126.9516,136.6661
0.019,143.5678,39.18123,126.7275,136.6846
0.02,142.6879,38.95018,126.5056,136.701
0.021,141.8044,38.74025,126.2859,136.7151
0.022,140.9177,38.55183,126.0687,136.727
0.023,140.0286,38.38531,125.8542,136.7366
0.024,139.1375,38.24105,125.6426,136.744
0.025,138.2451,38.11941,125.4341,136.7493
0.026,137.3522,38.02073,125.2289,136.7524
0.027,136.4595,37.94532,125.0272,136.7534
0.028,135.5677,37.89345,124.8291,136.7524
0.029,134.6776,37.86536,124.6349,136.7494
0.03,133.7899,37.86124,124.4445,136.7445
0.031,132.9056,37.88124,124.2582,136.7378
0.032,132.0255,37.92545,124.076,136.7294
0.033,131.1503,37.99391,123.898,136.7196
0.034,130.2808,38.08661,123.724,136.7083
0.035,129.418,38.20346,123.554,136.6958
0.036,128.5626,38.34434,123.388,136.6823
0.037,127.7154,38.50903,123.2258,136.6679
0.038,126.8773,38.69728,123.0671,136.6529
0.039,126.0489,38.90879,122.9117,136.6373
0.04,125.2311,39.14317,122.7595,136.6215
0.041,124.4247,39.40002,122.6099,136.6055
0.042,123.6303,39.67885,122.4627,136.5896
0.043,122.8488,39.97917,122.3176,136.5739
0.044,122.0808,40.30042,122.1742,136.5585
0.045,121.327,40.64202,122.0321,136.5435
0.046,120.5881,41.00338,121.891,136.5289
0.047,119.8647,41.38386,121.7506,136.5147
0.048,119.1575,41.78283,121.6105,136.5009
0.049,118.467,42.19965,121.4704,136.4874
0.05,117.7937,42.63366,121.3301,136.4742
0.051,117.1383,43.08421,121.1893,136.4612
0.052,116.5011,43.55067,121.0479,136.4482
0.053,115.8826,44.03242,120.9057,136.4352
0.054,115.2832,44.52884,120.7627,136.422
0.055,114.7033,45.03935,120.619,136.4085
0.056,114.143,45.56339,120.4746,136.3944
0.057,113.6026,46.10043,120.3298,136.3795
0.058,113.0823,46.64994,120.1848,136.3635
0.059,112.582,47.21142,120.0399,136.3462
0.06,112.1018,47.78442,119.8955,136.3274
0.061,111.6415,48.36847,119.7519,136.3066
0.062,111.2009,48.96315,119.6097,136.2837
0.063,110.7799,49.56805,119.4694,136.2583
0.064,110.378,50.1828,119.3314,136.2301
0.065,109.9949,50.80703,119.1964,136.1989
0.066,109.6301,51.44042,119.065,136.1642
0.067,109.283,52.08267,118.9377,136.1257
0.068,108.9531,52.73347,118.8153,136.0831
0.069,108.6398,53.39257,118.6982,136.036
0.07,108.3424,54.05969,118.5872,135.9843
0.071,108.0602,54.7346,118.4826,135.9275
0.072,107.7926,55.41707,118.3851,135.8655
0.073,107.5387,56.10687,118.2951,135.7981
0.074,107.2979,56.80379,118.213,135.7252
0.075,107.0693,57.50764,118.1392,135.6468
0.076,106.8522,58.21823,118.0739,135.563
0.077,106.6459,58.93538,118.0175,135.474
0.078,106.4495,59.65893,117.97,135.38
