parameter,units,value
footang,deg,19.58
g,m/s^2,-9.81
iff,kg.m^2,0.00015
irf,kg.m^2,0.00301
ish,kg.m^2,0.0808
ith,kg.m^2,0.21645
ihat,kg.m^2,6.0
k1,m^-1,9.74E-03
k2,s/m,1155.282193
k3,N/m,14435.41606
k4,N.s/m,4.75E-02
k5,m^-1,323.3806231
k6,s/m,2.15E-07
k7,N/m,149018.3201
k8,N.s/m,66196.28963
lffo,m,0.05
lff,m,0.085
lrffo,m,0.121
lrfo,m,0.076
lrff,m,0.222
lrf,m,0.139
lsho,m,0.261
lsh,m,0.453
ltho,m,0.258
lth,m,0.447
lhat,m,0.6 
mff,kg,0.244
mrf,kg,1.17
msh,kg,5.375
mth,kg,12.79
mhat,kg,51.95
mtpb,N.m.s/rad,0.701068939
mtpk,N.m/rad,6.463830463
ltoexi,m,0.083614267
lmtpxi,m,0.0
rtoexi,m,0.0
rmtpxi,m,0.0
